,Z_FFT(f)
35,-0.002758691
35.25,0.003580112
35.5,-0.001360359
35.75,0.000281764
36,-0.000269646
36.25,0.000281391
36.5,-0.008357403
36.75,0.023047018
37,-0.016322881
37.25,0.000554808
37.5,5.35413E-05
37.75,0.001443251
38,-0.000288058
38.25,-0.000347924
38.5,0.000301468
38.75,0.000112965
39,-0.000339029
39.25,-0.000190343
39.5,0.000630883
39.75,-0.000347678
40,0.000335644
40.25,-0.000574827
40.5,0.00057001
40.75,-0.000195799
41,-6.69901E-05
41.25,-0.000134696
41.5,0.000473321
41.75,-0.00062166
42,0.0005702
42.25,-0.000319228
42.5,0.00012583
42.75,-7.40903E-05
43,0.000112528
43.25,7.899E-05
43.5,-0.000648941
43.75,0.000569698
44,0.000205623
44.25,-0.000338674
44.5,-0.000103669
44.75,0.000373681
45,-9.63363E-05
45.25,-0.000195358
45.5,-0.000188269
45.75,0.000151674
46,0.000232682
46.25,0.000135844
46.5,-0.000380743
46.75,-0.000180678
47,0.000636054
47.25,-0.000220246
47.5,-5.33789E-05
47.75,-0.000503842
48,0.000611558
48.25,-0.00019965
48.5,-8.71361E-05
48.75,0.000448245
49,-0.000390976
49.25,3.99343E-05
49.5,-0.000245799
49.75,0.000129635
50,0.001081714
50.25,-0.001428013
50.5,0.00056584
50.75,-0.000437813
51,-5.44523E-05
51.25,0.000697896
51.5,-0.000159638
51.75,0.000411176
52,-0.001022492
52.25,0.000554562
52.5,-3.13279E-05
52.75,0.000613827
53,-0.000317567
53.25,-0.001466673
53.5,0.000368258
53.75,0.002129692
54,-0.001564404
54.25,-0.000937408
54.5,0.000916937
54.75,0.001757084
55,0.006793121
55.25,-0.015868201
55.5,0.005980358
55.75,0.003553789
56,-0.003835683
56.25,0.001736944
56.5,0.0012042
56.75,-0.002787056
57,0.002897103
57.25,-0.001498584
57.5,0.000396887
57.75,-0.000128029
58,-0.000930582
58.25,0.000815205
58.5,0.000299624
58.75,0.000939353
59,-0.001945967
59.25,0.001236575
59.5,-0.002093618
59.75,0.003479099
60,-0.000739727
60.25,-0.002200972
60.5,0.001212428
60.75,-0.000304434
61,0.000785529
61.25,-0.00284658
61.5,0.008130954
61.75,-0.00906554
62,0.0049767
62.25,-0.008813646
62.5,0.013117958
62.75,-0.005861816
63,-0.000867617
63.25,0.003802383
63.5,-0.007100506
63.75,0.004355428
64,-0.001297932
64.25,0.003509449
64.5,-0.005178995
64.75,0.003830992
65,-0.001542874
65.25,0.001012922
65.5,-0.001282451
65.75,0.001493137
66,-0.001844325
66.25,0.000753447
66.5,0.000692066
66.75,-0.000722442
67,-0.000719472
67.25,0.0014624
67.5,0.000415037
67.75,-0.001387093
68,9.64734E-05
68.25,0.001010008
68.5,-0.001060852
68.75,0.000737303
69,-0.000605029
69.25,-0.000332124
69.5,0.001813938
69.75,-0.002006013
70,0.000797514
70.25,0.000286753
70.5,0.000148105
70.75,-0.001172111
71,0.000830378
71.25,-0.000607361
71.5,0.00127404
71.75,-0.001037732
72,0.000649408
72.25,-0.000577486
72.5,0.00076408
72.75,-0.00100529
73,0.00083647
73.25,0.000961478
73.5,-0.007971825
73.75,0.010011973
74,-0.003256573
74.25,0.000445984
74.5,-0.000532854
74.75,-0.000104405
75,-0.000122464
75.25,0.000138156
75.5,0.000271053
75.75,-0.000645709
76,0.00066743
76.25,-0.000342738
76.5,0.000303661
76.75,-0.000389841
77,-1.10108E-05
77.25,0.000237284
77.5,0.000348916
77.75,-0.000341141
78,-8.04389E-05
78.25,-0.000233567
78.5,0.00056788
78.75,-0.000897093
79,0.001364067
79.25,-0.001423885
79.5,0.000845915
79.75,0.000298058
80,-0.001306869
80.25,0.000998127
80.5,-0.000133904
80.75,-0.000238204
81,0.000948703
81.25,-0.000921443
81.5,-8.1693E-05
81.75,-0.000534634
82,0.000956771
82.25,9.20488E-06
82.5,-0.000732112
82.75,0.000969321
83,0.000327586
83.25,-0.00099866
83.5,0.001243577
83.75,-0.001145696
84,-0.000879351
84.25,0.000313266
84.5,0.001329494
84.75,-0.000570433
85,0.000260489
85.25,-0.001412949
85.5,0.000764778
85.75,0.001661362
86,-0.0015643
86.25,0.000668738
86.5,-3.28659E-05
86.75,-0.000371035
87,0.000205936
87.25,-0.000804144
87.5,0.000232008
87.75,-2.12272E-05
88,0.000525933
88.25,-0.000180117
88.5,0.000599236
88.75,-0.00062366
89,-0.000418562
89.25,-0.000236154
89.5,0.001946136
89.75,-0.002281485
90,0.001459953
90.25,0.000541711
90.5,-0.002439841
90.75,0.002763003
91,-0.002056501
91.25,0.001442239
91.5,0.000829119
91.75,-0.001698675
92,-0.004118792
92.25,0.005739309
92.5,-0.001047099
92.75,-0.000202761
93,0.000254621
93.25,-0.000744991
93.5,-0.000449899
93.75,0.001633265
94,-0.001857234
94.25,0.002102569
94.5,-0.001630109
94.75,0.000860087
95,-0.000158333
95.25,-0.000442853
95.5,-0.000429827
95.75,0.001356403
96,-0.001104016
96.25,0.001134406
96.5,-0.001734311
96.75,0.000798847
97,0.000587914
97.25,0.001195084
97.5,-0.00233192
97.75,0.000540643
98,-0.000445815
98.25,-0.000205805
98.5,0.001486909
98.75,-2.06431E-05
99,-6.93738E-05
99.25,-0.000307187
99.5,-0.000981439
99.75,0.001486287
100,-0.000832157
100.25,0.000621996
100.5,-0.001693233
100.75,0.000891109
101,0.00142767
101.25,-0.001432212
101.5,0.000238514
101.75,-0.000482386
102,0.001107536
102.25,0.000439365
102.5,-0.001835419
102.75,0.000408799
103,0.000784624
103.25,0.00051602
103.5,-0.002443973
103.75,0.001509345
104,-0.000214871
104.25,0.001028528
104.5,-0.000492402
104.75,-0.000358803
105,-0.000485642
105.25,0.00180429
105.5,-0.001844102
105.75,0.000828995
106,0.00029192
106.25,-0.00196033
106.5,0.002817651
106.75,-0.001022932
107,-0.000353235
107.25,-0.000446362
107.5,-0.000848375
107.75,0.002210554
108,-0.000122959
108.25,-0.002083955
108.5,0.002278495
108.75,-0.001740258
109,0.00100569
109.25,0.001109155
109.5,-0.002899565
109.75,0.001280022
110,0.000336721
110.25,-0.007003695
110.5,0.010419219
110.75,0.001524581
111,-0.005209394
111.25,-0.000711552
111.5,0.000749864
111.75,-0.000232875
112,0.001818784
112.25,-0.001029473
112.5,-0.001404877
112.75,0.000779519
113,0.000439923
113.25,-0.00077023
113.5,0.001305828
113.75,-0.001437645
114,0.000509489
114.25,0.002148451
114.5,-0.003544792
114.75,0.00113839
115,0.001781673
115.25,-0.002891599
115.5,0.004502753
115.75,-0.006049866
116,0.005760256
116.25,-0.003688522
116.5,-4.47257E-05
116.75,0.00248251
117,-0.001541641
117.25,0.000337019
117.5,-0.001350996
117.75,0.000751352
118,0.001427829
118.25,-2.09746E-05
118.5,-0.0024714
118.75,0.000109989
119,0.002907064
119.25,-0.000541859
119.5,-0.000817456
119.75,-0.001409995
120,0.000967761
120.25,-0.002466882
120.5,0.004545256
120.75,-0.001418604
121,0.001429615
121.25,-0.002372755
121.5,0.001576507
121.75,-0.002164001
122,0.000451204
122.25,0.001567655
122.5,-0.001326298
122.75,-0.001825838
123,0.003206377
123.25,-0.00166526
123.5,0.003235451
123.75,-0.005995752
124,-0.007217505
124.25,0.031824715
124.5,-0.028077486
124.75,0.008268102
125,0.003720652
125.25,-0.012814775
125.5,0.009664652
125.75,-0.000813418
126,-0.001809994
126.25,0.00220677
126.5,-0.006519278
126.75,0.008333037
127,-0.004150937
127.25,-0.000614029
127.5,0.00553443
127.75,-0.007742562
128,0.008256518
128.25,-0.003846443
128.5,0.000234056
128.75,-0.015801166
129,0.019066949
129.25,-0.000855553
129.5,-0.002252446
129.75,-0.001222759
130,0.001594044
130.25,-0.003233294
130.5,0.003361999
130.75,-0.003213362
131,0.001386101
131.25,0.001455749
131.5,-0.000446557
131.75,-0.001584659
132,-0.001472101
132.25,0.003381279
132.5,0.00057908
132.75,-0.004107317
133,0.004479458
133.25,-0.002108035
133.5,-0.000998885
133.75,0.003682536
134,-0.003921094
134.25,-0.000674912
134.5,0.004580466
134.75,-0.005033223
135,0.004313677
135.25,-0.003375885
135.5,0.001873268
135.75,-0.000548568
136,0.00044137
136.25,0.000967075
136.5,-0.003905504
136.75,0.004870195
137,-0.000701669
137.25,-0.004306034
137.5,0.003534344
137.75,-0.001712127
138,0.001163388
138.25,0.000495408
138.5,-0.000871477
138.75,-0.0005548
139,0.001277926
139.25,-0.000448968
139.5,-0.000562076
139.75,0.00136983
140,0.001294701
140.25,-0.005190772
140.5,0.000957037
140.75,0.004474663
141,-0.002836878
141.25,-0.000246455
141.5,0.002497413
141.75,-0.003569422
142,0.002012547
142.25,0.00074347
142.5,-0.003536497
142.75,0.006271442
143,-0.006375341
143.25,0.003063546
143.5,0.00066406
143.75,-0.001851729
144,-0.000689328
144.25,0.002434386
144.5,-0.00124597
144.75,0.000798053
145,-0.002723208
145.25,0.005597676
145.5,-0.00540737
145.75,0.001884786
146,-0.000174701
146.25,1.04406E-05
146.5,0.001441268
146.75,-0.002114247
147,0.001061032
147.25,-0.000874066
147.5,0.00483917
147.75,-0.009049854
148,0.006239875
148.25,5.44073E-05
148.5,-0.002298302
148.75,-0.000181542
149,0.00342822
149.25,-0.001801318
149.5,-0.003344452
149.75,0.00340388
150,0.00080437
150.25,-0.000492904
150.5,-0.004666789
150.75,0.006129
151,-0.003008526
151.25,0.002200017
151.5,-0.002706689
151.75,-0.00095447
152,0.005168515
152.25,-0.004762149
152.5,0.003193816
152.75,-0.00224387
153,0.002296478
153.25,-0.003636854
153.5,0.001556193
153.75,0.002480932
154,-0.00247178
154.25,0.001098366
154.5,-0.001770538
154.75,0.001091833
155,0.000805873
155.25,-0.000531964
155.5,-0.000564718
155.75,0.001256521
156,-0.001339092
156.25,-0.000570468
156.5,0.001430002
156.75,0.000578166
157,-0.000825588
157.25,-0.000465452
157.5,0.000177212
157.75,0.000742399
158,-0.001971052
158.25,0.002692711
158.5,-0.001988947
158.75,0.000766725
159,0.000921353
159.25,-0.002184747
159.5,0.000879896
159.75,0.002971279
160,-0.005804911
160.25,0.004692202
160.5,-0.002517362
160.75,0.002782008
161,-0.003216728
161.25,0.00165521
161.5,-0.001143904
161.75,0.001433384
162,-0.001296187
162.25,0.001723084
162.5,-0.001162663
162.75,0.000186621
163,-0.000417025
163.25,0.001818001
163.5,-0.001269248
163.75,-0.000517129
164,-0.000610127
164.25,0.00119323
164.5,-0.00016891
164.75,0.000516577
165,-0.002201799
165.25,0.002959211
165.5,-0.004939121
165.75,0.00732669
166,-0.00296328
166.25,-0.000397977
166.5,-0.001396063
166.75,0.001569623
167,-0.000415376
167.25,-0.001120133
167.5,0.001866372
167.75,-0.001537354
168,0.00184284
168.25,-0.002180086
168.5,0.001196139
168.75,-5.94888E-05
169,-0.000375312
169.25,0.002412881
169.5,-0.003178363
169.75,0.000385205
170,0.001010177
170.25,-0.000947527
170.5,-0.000642631
170.75,0.0039787
171,-0.00445452
171.25,0.003213186
171.5,-0.003404622
171.75,0.003794977
172,-0.003305455
172.25,0.000967929
172.5,0.003135943
172.75,-0.006034137
173,0.005686978
173.25,-0.003660936
173.5,0.001710464
173.75,2.00732E-05
174,-0.001409748
174.25,0.002781755
174.5,-0.003590399
174.75,0.002993478
175,-0.002730437
175.25,0.00285953
175.5,-0.002564419
175.75,0.002020587
176,-0.00108067
176.25,0.000300805
176.5,0.002104384
176.75,-0.005292997
177,0.005350637
177.25,-0.002846854
177.5,0.000239942
177.75,0.002645033
178,-0.005235333
178.25,0.005622088
178.5,-0.004371734
178.75,0.003738217
179,-0.003156059
179.25,0.002719591
179.5,-0.001639659
179.75,-0.002771312
180,0.005072559
180.25,-0.003971948
180.5,0.004622888
180.75,-0.004442743
181,0.002905532
181.25,-0.003219239
181.5,0.002357467
181.75,-8.32163E-06
182,-0.000180566
182.25,-0.000403059
182.5,-0.000434855
182.75,0.001366376
183,-0.000450615
183.25,-0.000794705
183.5,-7.04833E-05
183.75,0.001909943
184,-0.001885781
184.25,0.001164897
184.5,-0.000632802
184.75,-0.001756928
185,0.001366266
185.25,0.00255762
185.5,-0.001763362
185.75,-0.00113273
186,-0.000785326
186.25,0.003420833
186.5,-0.000577104
186.75,-0.005354649
187,0.005316818
187.25,0.000642685
187.5,-0.005058931
187.75,0.004266185
188,-0.001912216
188.25,0.003899398
188.5,-0.006200979
188.75,0.005449048
189,-0.003238836
189.25,0.000877875
189.5,-0.000163459
189.75,-0.000185595
190,0.00017763
190.25,0.001406566
190.5,-0.002869739
190.75,0.003382458
191,-0.003165384
191.25,0.002131655
191.5,-0.001334964
191.75,0.000877147
192,-0.001253867
192.25,0.002340261
192.5,-0.002995843
192.75,0.002258613
193,-0.000506923
193.25,0.001643573
193.5,-0.003301722
193.75,0.000203821
194,0.004368717
194.25,-0.005110938
194.5,0.003259114
194.75,-0.001867803
195,0.000683146
195.25,0.00014488
195.5,0.000327675
195.75,0.000141625
196,-0.001740039
196.25,0.001853654
196.5,-0.001459219
196.75,0.001090137
197,-0.001475334
197.25,0.002722088
197.5,-0.003328423
197.75,0.002946806
198,-0.000971786
198.25,-0.000819896
198.5,0.001407929
198.75,-0.001085488
199,-0.001902758
199.25,0.005247787
199.5,-0.004339326
199.75,0.001084515
200,0.000443192
200.25,-0.000390852
200.5,8.40781E-05
200.75,-0.000238193
201,0.001477932
201.25,-0.002583062
201.5,0.002861603
201.75,-0.003878072
202,0.00502044
202.25,-0.004433973
202.5,0.003751717
202.75,-0.004706318
203,0.003771054
203.25,-0.001965829
203.5,0.002311723
203.75,-0.001864099
204,0.000799721
204.25,-0.000422093
204.5,0.000861008
204.75,-0.003478367
205,0.005865975
205.25,-0.005977884
205.5,0.00467428
205.75,-0.004246053
206,0.005631919
206.25,-0.004606208
206.5,0.002456698
206.75,-0.003797022
207,0.00629413
207.25,-0.00369686
207.5,-0.001520212
207.75,0.003859142
208,-0.00341284
208.25,0.001085736
208.5,-0.000766229
208.75,0.001364696
209,0.000989296
209.25,-0.002635842
209.5,0.003203014
209.75,-0.00325451
210,0.000787219
210.25,0.001200362
210.5,-0.001684041
210.75,0.000160105
211,0.001900403
211.25,0.000695632
211.5,-0.00431018
211.75,0.004149995
212,-0.003194305
212.25,0.001465722
212.5,0.001457322
212.75,-0.002250022
213,0.000245737
213.25,-0.000995042
213.5,0.004918773
213.75,-0.006048268
214,0.005792273
214.25,-0.005249441
214.5,0.002601172
214.75,-0.000831337
215,0.002218645
215.25,-0.002856803
215.5,0.0010498
215.75,0.00085818
216,-0.00347988
216.25,0.002577651
216.5,0.003017056
216.75,-0.00612784
217,0.006236161
217.25,-0.006781187
217.5,0.004785383
217.75,0.001191988
218,-0.000809918
218.25,-0.003953402
218.5,0.002431122
218.75,-0.000306038
219,0.00268781
219.25,-0.003837803
219.5,0.001662678
219.75,-0.001360103
220,0.004977891
220.25,-0.009378111
220.5,0.010352122
220.75,-0.007794479
221,0.006217349
221.25,-0.005446543
221.5,0.00292335
221.75,-0.0010221
222,0.002066397
222.25,-0.002144975
222.5,-0.001111281
222.75,0.001850435
223,-0.000721054
223.25,-0.000877756
223.5,0.00630601
223.75,-0.00940143
224,0.006257966
224.25,-0.005029332
224.5,0.00783805
224.75,-0.005181441
225,-0.000772965
225.25,0.000777869
225.5,0.000781425
225.75,-0.002173836
226,0.005331441
226.25,-0.00259821
226.5,-0.002290215
226.75,0.000541282
227,7.04037E-05
227.25,0.005307361
227.5,-0.009771414
227.75,0.011041435
228,-0.011728351
228.25,0.010246054
228.5,-0.00664323
228.75,0.004806506
229,-0.00838727
229.25,0.008090932
229.5,-0.004068652
229.75,0.004466763
230,0.00127926
230.25,-0.007346888
230.5,0.003950744
230.75,0.004500286
231,-0.012413821
231.25,0.015066351
231.5,-0.011428735
231.75,-0.000774267
232,0.010914513
232.25,-0.012586532
232.5,0.014137941
232.75,-0.010567446
233,0.002878193
233.25,-0.004538612
233.5,0.012156924
233.75,-0.008524848
234,-0.004327588
234.25,0.006611871
234.5,-0.002248389
234.75,0.008517392
235,-0.013955088
235.25,0.005231846
235.5,-0.000461951
235.75,0.008968473
236,-0.014647777
236.25,0.012631403
236.5,-0.012424797
236.75,0.009506036
237,0.000521857
237.25,-0.005225518
237.5,0.002657778
237.75,-0.001789508
238,-0.000335208
238.25,-0.001819869
238.5,0.003793452
238.75,0.003359828
239,-0.007270959
239.25,0.010496492
239.5,0.000504973
239.75,-0.012103487
240,0.004125096
240.25,-0.004319579
240.5,0.005183354
240.75,-0.001471383
241,0.005955884
241.25,-0.008520072
241.5,0.003752728
241.75,-0.001449646
242,0.00381356
242.25,-0.011532326
242.5,0.023190783
242.75,-0.014646903
243,-0.000105105
243.25,-0.002641662
243.5,6.00908E-05
243.75,0.006760026
244,-0.004468112
244.25,0.000822789
244.5,-0.002029193
244.75,0.006238758
245,-0.005653939
245.25,0.004223486
245.5,-0.014420625
245.75,0.004993757
246,0.01163473
246.25,0.006698131
246.5,-0.00990589
246.75,-0.006571869
247,0.010027517
247.25,-0.012274213
247.5,0.015127423
247.75,-0.009993686
248,0.004949537
248.25,-0.011745016
248.5,0.014515406
248.75,-0.00139281
249,-0.009079942
249.25,-0.002221295
249.5,0.00590841
249.75,-0.006570792
250,0.028799514
250.25,-0.026108137
250.5,0.002702729
250.75,0.001665436
251,-0.003238302
251.25,0.011279967
251.5,-0.010685079
251.75,0.00775258
252,-0.011918228
252.25,0.011358271
252.5,-0.009430775
252.75,0.012219691
253,-0.006787831
253.25,-0.010382663
253.5,0.022098586
253.75,-0.01641788
254,0.007192678
254.25,-0.005918194
254.5,0.007160244
254.75,-0.005149158
255,-0.000489676
255.25,0.00172611
255.5,0.000664828
255.75,-0.001291428
256,0.003047001
256.25,-0.002907571
256.5,0.000776823
256.75,-0.000654018
257,0.004093767
257.25,0.000119449
257.5,-0.006036421
257.75,-0.001315093
258,0.003339217
258.25,0.000480588
258.5,-0.000153617
258.75,0.001206418
259,-0.003513874
259.25,0.002263078
259.5,-0.000322053
259.75,0.001050486
260,0.000673661
260.25,0.001376646
260.5,-0.004860176
260.75,-0.001194082
261,0.008536721
261.25,-0.009264332
261.5,0.005911032
261.75,-0.001193698
262,1.44665E-05
262.25,0.000637637
262.5,-0.004950469
262.75,0.00579792
263,-0.002490104
263.25,-0.00300699
263.5,0.008155705
263.75,-0.010523614
264,0.006150786
264.25,0.008431517
264.5,-0.010691925
264.75,-0.001301349
265,0.004580582
265.25,-0.002160222
265.5,0.001063689
265.75,0.00023118
266,-0.001426783
266.25,-0.000455202
266.5,0.003259672
266.75,-0.000295692
267,-0.003767105
267.25,0.001761507
267.5,-0.003075584
267.75,0.00600452
268,-0.002773812
268.25,0.000701052
268.5,0.00085407
268.75,-0.002595223
269,0.001606015
269.25,-0.000833261
269.5,0.000511418
269.75,-0.000516236
270,0.002353022
270.25,-0.002011037
270.5,0.002266323
270.75,-0.00489959
271,0.000394354
271.25,0.004493567
271.5,-0.001705774
271.75,-0.000251055
272,0.001143522
272.25,-0.002181446
272.5,0.000955196
272.75,-3.59241E-05
273,-0.000489166
273.25,-0.000893826
273.5,0.002717802
273.75,-0.000533746
274,-0.002082073
274.25,0.002290576
274.5,-0.00236891
274.75,-0.000815054
275,0.003808381
275.25,-0.002053158
275.5,0.002629735
275.75,-0.004785722
276,0.001906151
276.25,0.002253968
276.5,-0.003327194
276.75,0.005122955
277,-0.004006629
277.25,0.001359065
277.5,-0.001736801
277.75,0.000334562
278,0.000880657
278.25,0.001427125
278.5,-0.003619817
278.75,0.003835259
279,-0.004118723
279.25,0.002199359
279.5,-0.001317429
279.75,0.004745399
280,-0.004150467
280.25,-0.000136036
280.5,0.001245401
280.75,-0.000416883
281,6.40605E-05
281.25,-0.000544016
281.5,-0.000623993
281.75,0.000436979
282,0.002786152
282.25,-0.00316604
282.5,0.001477949
282.75,0.000770004
283,-0.001725154
283.25,0.002868625
283.5,-0.002737378
283.75,-0.001352355
284,0.000650846
284.25,0.001191603
284.5,0.002488252
284.75,-0.004491052
285,0.002373823
285.25,-0.001166009
285.5,0.002180308
285.75,-0.002553142
286,0.003016666
286.25,-0.001768685
286.5,-0.001431021
286.75,0.003491477
287,-0.005403464
287.25,0.005150506
287.5,-0.002342922
287.75,0.000535725
288,0.001187537
288.25,-0.002138779
288.5,0.000445997
288.75,9.07276E-05
289,0.000963948
289.25,-0.000796705
289.5,0.001075202
289.75,-0.002860889
290,0.002082234
290.25,-0.000605421
290.5,0.002845394
290.75,-0.004777196
291,0.002118219
291.25,0.001442244
291.5,-0.001743972
291.75,0.000370467
292,0.001360565
292.25,0.000107463
292.5,-0.002377965
292.75,0.002932233
293,-0.002936786
293.25,0.000724275
293.5,-0.0023456
293.75,0.004780016
294,-0.001404715
294.25,-0.001212206
294.5,-0.001799071
294.75,0.003743388
295,-0.0021827
295.25,5.56302E-05
295.5,0.002651507
295.75,-0.001359861
296,-0.001751012
296.25,0.001764147
296.5,-0.000811072
296.75,0.001349051
297,-0.000679715
297.25,-0.000520626
297.5,-6.28347E-05
297.75,-0.000512441
298,-0.000692917
298.25,0.004069137
298.5,-0.00530471
298.75,0.005282404
299,-0.005084389
299.25,0.002796924
299.5,-0.000456948
299.75,0.001626814
300,-0.001093715
300.25,-0.002346305
300.5,0.002041337
300.75,-0.001330672
301,0.004572774
301.25,-0.006374245
301.5,0.002003054
301.75,0.003109893
302,-0.003362792
302.25,9.23419E-05
302.5,0.002746196
302.75,-0.002617464
303,0.003738406
303.25,-0.004351982
303.5,0.001966332
303.75,0.000816789
304,-0.003958998
304.25,0.004170042
304.5,-0.004486424
304.75,0.007346993
305,-0.005207695
305.25,0.001451723
305.5,-0.001781472
305.75,0.001953875
306,-0.000669085
306.25,0.000338757
306.5,-0.001042267
306.75,-0.001212405
307,0.005486574
307.25,-0.00528006
307.5,0.002777148
307.75,-0.004501816
308,0.005392086
308.25,0.000490967
308.5,-0.001358354
308.75,-0.00317882
309,0.000228006
309.25,0.003007496
309.5,-0.000184341
309.75,-0.000958833
310,-0.001345615
310.25,0.001127154
310.5,-0.000358147
310.75,0.002184835
311,-0.001437003
311.25,-0.00133409
311.5,-0.00125418
311.75,0.003939587
312,0.002040372
312.25,-0.00332913
312.5,-0.000598857
312.75,-0.003690587
313,0.006280237
313.25,-0.002826119
313.5,0.001218262
313.75,-0.001597507
314,0.003336827
314.25,-0.004781989
314.5,0.002690681
314.75,0.001418745
315,-0.00203839
315.25,0.000493122
315.5,-0.001977301
315.75,0.005228369
316,-0.005338703
316.25,0.004165434
316.5,-0.005538216
316.75,0.004243255
317,-0.001654639
317.25,0.002317615
317.5,-0.004139249
317.75,0.003699595
318,-0.000865918
318.25,0.000637806
318.5,-0.002256073
318.75,0.002139658
319,-0.000812741
319.25,-0.000317311
319.5,0.001439581
319.75,-0.000656586
320,-0.002940574
320.25,0.003489589
320.5,-0.001661149
320.75,0.001836275
321,-0.003452443
321.25,0.004629248
321.5,-0.002220871
321.75,-0.000594848
322,-0.001278232
322.25,0.004710323
322.5,-0.004518941
322.75,0.002541411
323,-0.001865114
323.25,0.001663798
323.5,-0.0029352
323.75,0.005142563
324,-0.004361279
324.25,0.001315797
324.5,-0.001046428
324.75,0.002505608
325,-0.002106789
325.25,0.001067271
325.5,-0.001290665
325.75,0.001825124
326,-0.000810873
326.25,0.001070483
326.5,-0.00082337
326.75,-0.0036902
327,0.0062366
327.25,-0.004220062
327.5,0.00240618
327.75,-0.002458963
328,0.000800804
328.25,0.002271258
328.5,-0.003388728
328.75,0.00498806
329,-0.004316708
329.25,0.000270511
329.5,0.000225973
329.75,0.000721709
330,-0.000858761
330.25,0.002073097
330.5,-0.001914477
330.75,-0.000350979
331,0.001410833
331.25,-0.001999858
331.5,0.003908352
331.75,-0.004601497
332,0.002592551
332.25,0.000227784
332.5,0.000245142
332.75,-0.001502604
333,0.000188278
333.25,0.001659936
333.5,-0.000356904
333.75,-0.002755829
334,0.002370219
334.25,-0.001787504
334.5,0.00235164
334.75,-0.00281436
335,0.002867343
335.25,0.000883395
335.5,-0.004857713
335.75,0.002807932
336,0.000179433
336.25,0.001711775
336.5,-0.003160934
336.75,0.002613571
337,-0.003434768
337.25,0.003078871
337.5,-0.001555156
337.75,-0.000439672
338,0.003526764
338.25,-0.001976819
338.5,-0.002085223
338.75,0.001591338
339,0.000320257
339.25,-0.00032009
339.5,-0.0005457
339.75,7.64647E-05
340,0.000905896
340.25,3.60097E-05
340.5,-0.000989697
340.75,0.000353313
341,-7.23296E-05
341.25,0.000742658
341.5,0.000616016
341.75,-0.000347053
342,-0.002979788
342.25,0.002998298
342.5,-0.001728716
342.75,0.001284107
343,-0.000947635
343.25,0.001772424
343.5,-0.000796967
343.75,-0.001797794
344,0.001497453
344.25,0.000814758
344.5,-0.000737083
344.75,-0.000569018
345,0.000346128
345.25,-0.000324653
345.5,0.002343447
345.75,-0.004343314
346,0.002710941
346.25,-0.000561622
346.5,-0.000344049
346.75,0.001955216
347,-0.001383126
347.25,0.000723983
347.5,-0.002595131
347.75,0.002472733
348,-0.000135927
348.25,-0.000158152
348.5,-0.000436818
